"","res.cor","p.val"
"UNKNWN.UNK.051.11.1.MC1.xml",0.191744926649198,0.0293409474442436
"UNKNWN.UNK.051.11.1.MC2.xml",0.176022798997762,0.0414950307694361
"UNKNWN.UNK.051.11.MJ1.1.xml",0.167594310451453,0.0495066801125553
"UNKNWN.UNK.051.12.1.MC3.xml",0.172823650877591,0.0893828628739223
"UNKNWN.UNK.051.22.1.MC3.xml",0.208963585434174,0.113705945675112
"UNKNWN.UNK.053.1.1.MC1.xml",0.428441207033139,1.42277768328489e-09
"UNKNWN.UNK.062.12.1.MC1.xml",0.280527206222146,6.3673938359981e-05
"UNKNWN.UNK.063.11.MJ1.1.xml",0.570469398108084,1.95522072401549e-09
"UNKNWN.UNK.064.11.MJ1.1.xml",0.54321932748899,2.70213470618196e-08
"UNKNWN.UNK.095.11.1.BR1.xml",0.120961912705032,0.104946625246509
"UNKNWN.UNK.095.11.1.MC1.xml",0.0138900797393467,0.443196389291809
"UNKNWN.UNK.117.11.MJ1.1.xml",0.566261824475545,2.81435434585424e-09
"UNKNWN.UNK.123.11.1.MC1.xml",0.45535673439164,1.24945831255604e-10
"UNKNWN.UNK.125.12.1.1BR.xml",0.560875335658508,0
"UNKNWN.UNK.125.12.1.MC1.xml",0.57541693673673,0
"UNKNWN.UNK.125.12.2.MC1.xml",0.692911095767163,0
"UNKNWN.UNK.125.22.1.BR1.xml",0.717877886386174,0
"UNKNWN.UNK.125.22.1.MC1.xml",0.718274543136422,0
"UNKNWN.UNK.132.1.1.MC1.xml",0.333674907661759,2.67749200196602e-06
"UNKNWN.UNK.138.11.MJ1.1.xml",0.586892951397584,0
"UNKNWN.UNK.139.11.MJ1.1.xml",0.615762467165073,0
"UNKNWN.UNK.140.11.MJ1.1.xml",0.660680780566739,0
"UNKNWN.UNK.141.11.1.MC1.xml",0.629267933407051,0
"UNKNWN.UNK.142.11.MJ1.1.xml",0.41328970123827,1.64865707478842e-06
"UNKNWN.UNK.144.11.MJ1.1.xml",0.616823564513308,0
"UNKNWN.UNK.146.11.MJ1.1.xml",0.620948083909528,0
"UNKNWN.UNK.156.11.1.BR1.xml",0.516221470228238,0
"UNKNWN.UNK.156.11.1.MC1.xml",-0.11714609664863,0.93481576940827
"UNKNWN.UNK.157.11.1.MC1.xml",-0.0844751321609667,0.788706163705953
"UNKNWN.UNK.157.11.1.MC2.xml",0.392525195968645,4.74239429292066e-05
"UNKNWN.UNK.159.11.MJ1.1.xml",0.636102418207681,1.02374044205988e-10
"UNKNWN.UNK.167.11.MJ1.1.xml",0.530167165768005,0
"UNKNWN.UNK.169.11.1.BR1.xml",0.656070543343168,0
"UNKNWN.UNK.169.11.1.MC1.xml",0.677810956210575,0
"UNKNWN.UNK.170.11.MJ1.1.xml",0.544576239269136,0
"UNKNWN.UNK.170B.22.MJ1.1.xml",0.62435673332773,0
"UNKNWN.UNK.172.12.1.MC1.xml",0.534876362357904,0
"UNKNWN.UNK.206.11.1.MC1.xml",0.53677150786309,6.40202996507074e-05
"UNKNWN.UNK.213.11.MJ1.1.xml",0.500477607107441,0
"UNKNWN.UNK.214.11.MJ1.1.xml",0.661094185542891,0
"UNKNWN.UNK.216.11.1.MC1.xml",0.576890534108937,9.20583298670573e-07
"UNKNWN.UNK.216.11.2.MC1.xml",0.584294024325754,6.43212642090071e-07
"UNKNWN.UNK.217.11.1.MC1.xml",-0.0664094285071242,0.810275949524211
"UNKNWN.UNK.217.11.1.MC2.xml",0.522967486712488,0
"UNKNWN.UNK.219.11.MJ1.1.xml",0.640228478172175,0
"UNKNWN.UNK.220B.11.1.MC1.xml",0.693542753883611,0
"UNKNWN.UNK.221.11.MJ1.1.xml",0.68320322211725,0
"UNKNWN.UNK.221B.12.MJ1.1.xml",0.662541644124263,0
"UNKNWN.UNK.225.11.MJ1.1.xml",0.659472151619963,0
"UNKNWN.UNK.225.11.MJ2.1.xml",0.679852414384491,0
"UNKNWN.UNK.226.11.MJ1.1.xml",0.560627988348874,0
"UNKNWN.UNK.230.11.1.MC1.xml",0.358364181209237,0.00222296933734639
"UNKNWN.UNK.230.11.MJ1.1.xml",0.362594747047418,0.00198756909754824
"UNKNWN.UNK.232.11.1.MC1.xml",0.566068320819452,0
"UNKNWN.UNK.233.11.MJ1.1.xml",0.557667931652251,0
"UNKNWN.UNK.245.11.1.MC1.xml",0.450191671480334,2.16274406400352e-08
"UNKNWN.UNK.251.11.1.MC1.xml",0.562637337483977,0
"UNKNWN.UNK.254.11.MJ1.1.xml",0.522913397359446,0
"UNKNWN.UNK.259.11.MJ1.1.xml",0.54626187127969,0
"UNKNWN.UNK.263.11.MJ1.1.xml",0.292084757347915,0.00534804866584974
"UNKNWN.UNK.279.11.MJ1.1.xml",0.718588234275722,0
"UNKNWN.UNK.287.11.1.MC1.xml",0.575825867861142,6.93565510450443e-10
"UNKNWN.UNK.322.11.1.MC1.xml",0.47293426039211,1.13740089521437e-06
"VISPAR.206.407.11.1.1.xml",0.508152664859982,9.12884418451521e-07
